Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0402,2,22pf 0402, 
"C10, C11, C14, C15, C16, C17, C18, C19, C20, C8",0402,10,100nf 0402,
"C12, C13, C6",0402,3,1uf 0402,
C2,0402,1,10uf 0402 6.3V,
C3,0402,1,10uf 0402,
C5,0402,1,0.1uf 0402,
C7,0402,1,100nf 0402, 
C9,0402,1,4.7uf 0402,
D1,D_SOD-123,1,1n4002W,
FLASH1,SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm,1,W25Q16JVUXIQ,
"H1, H2, H3, H4, H5_2, H5, H6_2, H6, H7, H8",MountingHole_2.2mm_M2,10,MountingHole_Pad,
J1,SW_Push_SPST_NO_Alps_SKRK,1,Button, 
"J10, J12, J13, J14, J15, J9",JST_SUR_BM03B-SURS-TF_1x03-1MP_P0.80mm_Vertical,6,0.8mm BM03B,
"J11, J4",PinHeader_1x02_P1.27mm_Vertical,2,Conn_02x02_Top_Bottom,
J16,PinHeader_1x14_P1.00mm_Vertical,1,Conn_01x14,
J2,PinHeader_1x03_P1.27mm_Vertical,1,Conn_01x03,
J3,SW_Push_SPST_NO_Alps_SKRK,1,Button,
"J5, J6, J7, J8",PinHeader_2x02_P1.27mm_Vertical,4,Conn_02x02_Top_Bottom,
R1,0402,1,39 ohm 0402,
R10,0402,1,27Ohms 0402 Resistor,
"R2, R6",0402,2,1K 0402, 
"R3, R4",0402,2,10k 0402,
"R5, R8",0402,2,5.1K,
R7,0402,1,10K 0402,  
R9,0402,1,27Ohms  0402 Resistor,
"SW1, SW2, SW3",MouseSwitch,3,SW_Push_SPDT,
"SW4, SW5, SW6, SW7, SW8, SW9",SW_SPST_B3U-1000P,6,SW_Push_SPDT,
U1,SOT-23-5,1,AP2112K-3.3,
U2,SOT-23-5,1,TLV70218DBVR,
U3,RP2040-QFN-56,1,RP2040,
U4,DIP-16_W10.16mm,1,PMW3360DM-T2QU,
VR1,TRIM_EC10E1220501,1,EC10E1220501,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,3225_4P 12MHz, 
e1,HRO-TYPE-C-31-M-12,1,TYPE-C-31-M-12,
